provinsi,tanggal,harga_prediksi,stok_beras_ton,jumlah_bencana,jumlah_curah_hujan,cluster_kmeans,anomaly_isolation_forest
ACEH,2025-07-01,13935.928,31401.04836,22,83.6,0,1
ACEH,2025-08-01,13847.503,47309.03898,18,103.9,0,1
ACEH,2025-09-01,13927.69,56770.84678,12,30130.9,1,-1
ACEH,2025-10-01,13892.301,94618.07796,12,10309.4,1,-1
ACEH,2025-11-01,13898.455,94618.07796,14,118.4,0,1
ACEH,2025-12-01,13858.294,37847.23118,6,196.6,0,1
ACEH,2026-01-01,13895.049,37847.23118,7,427.4,0,1
ACEH,2026-02-01,13913.597,43791.35256,7,363.1,0,1
ACEH,2026-03-01,13953.195,61321.10847,8,10120.0,1,-1
ACEH,2026-04-01,14087.029,173646.57,10,10162.6,1,-1
ACEH,2026-05-01,14064.913,173175.1721,2,174.1,0,1
ACEH,2026-06-01,14023.492,89184.54163,7,139.6,0,1
BALI,2025-07-01,15275.642,32779.18501,1,214.9,0,1
BALI,2025-08-01,15118.022,18110.99048,0,52.8,0,1
BALI,2025-09-01,15243.973,21733.18857,4,9.7,0,1
BALI,2025-10-01,15236.925,36221.98095,7,51.8,0,1
BALI,2025-11-01,15160.865,36221.98095,7,108.8,0,1
BALI,2025-12-01,15120.47,14488.79238,3,166.4,0,1
BALI,2026-01-01,15133.362,14488.79238,9,730.9,0,1
BALI,2026-02-01,15252.1045,25388.20104,6,575.9,0,1
BALI,2026-03-01,16112.032,17878.81142,7,432.9,0,1
BALI,2026-04-01,16158.6455,30318.10526,11,268.1,0,1
BALI,2026-05-01,15774.64,25830.94508,0,73.5,0,1
BALI,2026-06-01,15646.711,48546.90648,1,111.4,0,1
BANTEN,2025-07-01,14672.812,40416.69185,6,282.1,0,1
BANTEN,2025-08-01,14733.315,44192.76861,4,112.0,0,1
BANTEN,2025-09-01,14839.229,53031.32233,2,21.8,0,1
BANTEN,2025-10-01,14636.847,88385.53722,4,104.9,0,1
BANTEN,2025-11-01,14612.627,88385.53722,3,16.6,0,1
BANTEN,2025-12-01,14601.29,35354.21489,12,171.4,0,1
BANTEN,2026-01-01,14737.711,35354.21489,18,294.4,0,1
BANTEN,2026-02-01,14672.305,12000.92542,10,505.3,0,1
BANTEN,2026-03-01,15443.84,81128.75473,8,199.1,0,1
BANTEN,2026-04-01,15403.234,230219.7599,7,10293.9,1,-1
BANTEN,2026-05-01,14951.133,174341.3017,5,119.8,0,1
BANTEN,2026-06-01,14830.051,38842.36345,4,189.0,0,1
BENGKULU,2025-07-01,15256.193,8449.611427,0,159.4,0,1
BENGKULU,2025-08-01,15235.969,7776.183675,3,217.6,0,1
BENGKULU,2025-09-01,15287.033,9331.42041,1,14.2,0,1
BENGKULU,2025-10-01,15320.459,15552.36735,2,109.1,0,1
BENGKULU,2025-11-01,15255.208,15552.36735,1,83.7,0,1
BENGKULU,2025-12-01,15287.249,6220.94694,1,277.6,0,1
BENGKULU,2026-01-01,15282.956,6220.94694,1,491.9,0,1
BENGKULU,2026-02-01,15275.163,15958.14458,0,373.5,0,1
BENGKULU,2026-03-01,16011.222,10437.81988,1,303.6,0,1
BENGKULU,2026-04-01,16046.291,17283.73686,0,361.7,0,1
BENGKULU,2026-05-01,15825.168,21746.75658,0,212.0,0,1
BENGKULU,2026-06-01,15782.212,23497.80203,5,132.6,0,1
DI YOGYAKARTA,2025-07-01,14344.917,32233.70897,0,136.0,0,1
DI YOGYAKARTA,2025-08-01,14231.173,12905.70545,0,19.3,0,1
DI YOGYAKARTA,2025-09-01,14386.344,15486.84653,0,10.0,0,1
DI YOGYAKARTA,2025-10-01,14354.247,25811.41089,0,79.7,0,1
DI YOGYAKARTA,2025-11-01,14270.797,25811.41089,0,42.0,0,1
DI YOGYAKARTA,2025-12-01,14265.133,10324.56436,0,492.8,0,1
DI YOGYAKARTA,2026-01-01,14293.822,10324.56436,0,420.1,0,1
DI YOGYAKARTA,2026-02-01,14364.542,20490.2592,0,326.7,0,1
DI YOGYAKARTA,2026-03-01,14623.297,70625.96417,0,231.4,0,1
