provinsi,tahun,bulan,stok_beras_ton,stok_padi_ton,harga_beras,jumlah_bencana,jumlah_curah_hujan,durasi_hujan_berturut_turut,max_curah_hujan,jumlah_hari_puasa,jumlah_hari_lebaran,jumlah_hari_nataru,harga_beras_bulan_lalu,stok_beras_bulan_lalu,tanggal,cluster_kmeans,anomaly_isolation_forest
ACEH,2021,2,55904.67432,98078.376,"10,250",28,40.0,4,12.0,0,0,0,"10,250",46587.2286,2021-02-01,0,1
ACEH,2021,3,139761.6858,245195.94,"10,150",28,134.9,6,25.1,0,0,0,"10,250",55904.67432,2021-03-01,0,1
ACEH,2021,4,167714.023,294235.128,"10,150",17,475.8,7,66.3,18,0,0,"10,150",139761.6858,2021-04-01,0,1
ACEH,2021,5,93174.4572,163463.96,"10,100",19,541.4,12,72.8,12,3,0,"10,150",167714.023,2021-05-01,0,1
ACEH,2021,6,65222.12004,114424.772,"10,100",12,185.2,8,20.0,0,0,0,"10,100",93174.4572,2021-06-01,0,1
ACEH,2021,7,46587.2286,81731.98,"10,100",28,530.0,8,95.4,0,0,0,"10,100",65222.12004,2021-07-01,0,1
ACEH,2021,8,55904.67432,98078.376,"10,050",17,325.4,8,51.8,0,0,0,"10,100",46587.2286,2021-08-01,0,1
ACEH,2021,9,93174.4572,163463.96,"10,150",13,325.6,8,61.2,0,0,0,"10,050",55904.67432,2021-09-01,0,1
ACEH,2021,10,93174.4572,163463.96,"10,100",34,148.5,6,54.7,0,0,0,"10,150",93174.4572,2021-10-01,0,1
ACEH,2021,11,37269.78288,65385.584,"10,100",26,397.2,6,73.5,0,0,0,"10,100",93174.4572,2021-11-01,0,1
ACEH,2021,12,37269.78288,65385.584,"10,150",23,411.2,4,107.4,0,0,1,"10,100",37269.78288,2021-12-01,0,1
ACEH,2022,1,43019.50911,75472.823,"10,250",25,367.3,3,99.8,0,0,1,"10,150",37269.78288,2022-01-01,0,1
ACEH,2022,2,51623.41093,90567.3876,"10,400",11,273.0,4,64.5,0,0,0,"10,250",43019.50911,2022-02-01,0,1
ACEH,2022,3,129058.5273,226418.469,"10,400",13,278.1,5,52.6,0,0,0,"10,400",51623.41093,2022-03-01,0,1
ACEH,2022,4,154870.2328,271702.1628,"10,350",10,58.1,4,18.6,28,1,0,"10,400",129058.5273,2022-04-01,0,1
ACEH,2022,5,86039.01822,150945.646,"10,300",32,111.5,4,47.5,2,5,0,"10,350",154870.2328,2022-05-01,0,1
ACEH,2022,6,60227.31275,105661.9522,"10,400",11,122.6,6,50.8,0,0,0,"10,300",86039.01822,2022-06-01,0,1
ACEH,2022,7,43019.50911,75472.823,"10,300",27,182.2,3,78.8,0,0,0,"10,400",60227.31275,2022-07-01,0,1
ACEH,2022,8,51623.41093,90567.3876,"10,400",16,101.3,3,47.4,0,0,0,"10,300",43019.50911,2022-08-01,0,1
ACEH,2022,9,86039.01822,150945.646,"10,850",18,124.4,4,28.9,0,0,0,"10,400",51623.41093,2022-09-01,0,1
ACEH,2022,10,86039.01822,150945.646,"11,100",31,179.5,9,18.7,0,0,0,"10,850",86039.01822,2022-10-01,0,1
ACEH,2022,11,34415.60729,60378.2584,"11,050",19,112.6,4,19.6,0,0,0,"11,100",86039.01822,2022-11-01,0,1
ACEH,2022,12,34415.60729,60378.2584,"11,000",13,401.4,11,96.4,0,0,1,"11,050",34415.60729,2022-12-01,0,1
ACEH,2023,1,40020.69237,70211.741,"11,400",24,439.3,7,170.6,0,0,1,"11,000",34415.60729,2023-01-01,0,1
ACEH,2023,2,48024.83084,84254.0892,"11,850",12,244.4,4,67.0,0,0,0,"11,400",40020.69237,2023-02-01,0,1
